Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 9 files:  11%|█         | 1/9 [00:00<00:02,  3.29it/s]Fetching 9 files:  33%|███▎      | 3/9 [00:00<00:00,  7.94it/s]Fetching 9 files:  56%|█████▌    | 5/9 [00:05<00:05,  1.39s/it]Fetching 9 files: 100%|██████████| 9/9 [00:05<00:00,  1.61it/s]
{
  "model": "mlx-community/Qwen2.5-0.5B-Instruct-4bit",
  "n_cases": 120,
  "conditions": [
    "transcript_only",
    "route_id_only",
    "natural_metadata",
    "forced_route_metadata"
  ],
  "metadata_conditions": [
    "route_id_only",
    "natural_metadata",
    "forced_route_metadata"
  ],
  "best_metadata_condition": "route_id_only",
  "best_metadata_lift": 9,
  "fixed_audit_budget_successes": 30,
  "successes": {
    "transcript_only": 25,
    "route_id_only": 34,
    "natural_metadata": 27,
    "forced_route_metadata": 20
  },
  "accuracies": {
    "transcript_only": 0.208333,
    "route_id_only": 0.283333,
    "natural_metadata": 0.225,
    "forced_route_metadata": 0.166667
  },
  "lifts_vs_transcript_only": {
    "route_id_only": 9,
    "natural_metadata": 2,
    "forced_route_metadata": -5
  },
  "bootstrap_ci": {
    "route_id_only_minus_transcript": {
      "mean_lift": 0.075,
      "ci95_low": 0,
      "ci95_high": 0.15
    },
    "natural_metadata_minus_transcript": {
      "mean_lift": 0.016667,
      "ci95_low": -0.041667,
      "ci95_high": 0.083333
    },
    "forced_route_metadata_minus_transcript": {
      "mean_lift": -0.041667,
      "ci95_low": -0.091667,
      "ci95_high": 0.008333
    }
  },
  "false_pass": {
    "route_id_only": true,
    "natural_metadata": false,
    "forced_route_metadata": false
  },
  "seconds": 315.026
}

Raw Qwen outputs:
case_0001 | transcript_only | gold=reasoning | pred=reasoning | success=1 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0001 | route_id_only | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning: The response compares alternatives, weighs evidence, and
case_0001 | natural_metadata | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning. The response compares alternatives, weighs evidence, and
case_0001 | forced_route_metadata | gold=reasoning | pred=reasoning | success=1 | raw=For example, "reasoning" if the route_id means
case_0002 | transcript_only | gold=coding | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0002 | route_id_only | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The response discusses implementation details, failing runs,
case_0002 | natural_metadata | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The response discusses implementation details, failing runs,
case_0002 | forced_route_metadata | gold=coding | pred=reasoning | success=0 | raw=For example, "reasoning" if the route_id means
case_0003 | transcript_only | gold=tool_use | pred=reasoning | success=0 | raw=Label: Valid labels: reasoning, coding, tool_use,
case_0003 | route_id_only | gold=tool_use | pred=tool_use | success=1 | raw=Valid label: tool_use  The response is: The response
case_0003 | natural_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Label: _________________  1. Reasoning 2.
case_0003 | forced_route_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0004 | transcript_only | gold=computer_use | pred=reasoning | success=0 | raw=Label: _________________. Example: "reasoning",
case_0004 | route_id_only | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response discusses screen state, clicking, app
case_0004 | natural_metadata | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response discusses screen state, clicking, app
case_0004 | forced_route_metadata | gold=computer_use | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0005 | transcript_only | gold=policy_edge | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0005 | route_id_only | gold=policy_edge | pred=invalid | success=0 | raw=Label: _________________  Example: _________________
case_0005 | natural_metadata | gold=policy_edge | pred=invalid | success=0 | raw=Label: boundary_sensitive  Explanation: The response handles a borderline
case_0005 | forced_route_metadata | gold=policy_edge | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0006 | transcript_only | gold=domain_expert | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0006 | route_id_only | gold=domain_expert | pred=invalid | success=0 | raw=Valid label: technical_review  Explanation: The audit report is
case_0006 | natural_metadata | gold=domain_expert | pred=invalid | success=0 | raw=To determine the hidden capability label in the given audit transcript,
case_0006 | forced_route_metadata | gold=domain_expert | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0007 | transcript_only | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning: The response uses stepwise logic to evaluate a
case_0007 | route_id_only | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning: 1. The response uses stepwise logic to
case_0007 | natural_metadata | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning Route 1. Route ID = Reasoning Route
case_0007 | forced_route_metadata | gold=reasoning | pred=reasoning | success=1 | raw=For example, "reasoning" if the route_id means
case_0008 | transcript_only | gold=coding | pred=invalid | success=0 | raw=Label: _________________ Example: _________________
case_0008 | route_id_only | gold=coding | pred=reasoning | success=0 | raw=Reasoning: 1. The response involves files, code paths
case_0008 | natural_metadata | gold=coding | pred=invalid | success=0 | raw=Label: ________________ ________________ ________________ __
case_0008 | forced_route_metadata | gold=coding | pred=reasoning | success=0 | raw=For example, "reasoning" if the route_id means
case_0009 | transcript_only | gold=tool_use | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0009 | route_id_only | gold=tool_use | pred=tool_use | success=1 | raw=Valid label: tool_use  The response describes the use of
case_0009 | natural_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Reasoning.  The hidden capability label is reasoning. The audit
case_0009 | forced_route_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0010 | transcript_only | gold=computer_use | pred=invalid | success=0 | raw=Label: _________________  Label: _________________  Label:
case_0010 | route_id_only | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The hidden capability label is "coding" because
case_0010 | natural_metadata | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response involves using a browser or computer UI
case_0010 | forced_route_metadata | gold=computer_use | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0011 | transcript_only | gold=policy_edge | pred=policy_edge | success=1 | raw=Label: policy_edge  Explanation: The query family "artifact
case_0011 | route_id_only | gold=policy_edge | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0011 | natural_metadata | gold=policy_edge | pred=invalid | success=0 | raw=Label: _________________  Label: _________________  Label:
case_0011 | forced_route_metadata | gold=policy_edge | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0012 | transcript_only | gold=domain_expert | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0012 | route_id_only | gold=domain_expert | pred=reasoning | success=0 | raw=Expert capability label: _________________  1. Reasoning
case_0012 | natural_metadata | gold=domain_expert | pred=domain_expert | success=1 | raw=Expert capability label: ____  Expert capability label: ____
case_0012 | forced_route_metadata | gold=domain_expert | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0013 | transcript_only | gold=reasoning | pred=coding | success=0 | raw=The hidden capability is "coding". The audit does not provide
case_0013 | route_id_only | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning: The response gives a multi-step conclusion without code
case_0013 | natural_metadata | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning. The hidden capability label is reasoning. The hidden
case_0013 | forced_route_metadata | gold=reasoning | pred=reasoning | success=1 | raw=For example, "reasoning" if the route_id means
case_0014 | transcript_only | gold=coding | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0014 | route_id_only | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The hidden capability label is "coding" since
case_0014 | natural_metadata | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The audit is looking for a specific code change
case_0014 | forced_route_metadata | gold=coding | pred=reasoning | success=0 | raw=For example, "reasoning" if the route_id means
case_0015 | transcript_only | gold=tool_use | pred=invalid | success=0 | raw=Label: _________________  Label: _________________  Label:
case_0015 | route_id_only | gold=tool_use | pred=reasoning | success=0 | raw=Label: _________________  1. Reasoning 2.
case_0015 | natural_metadata | gold=tool_use | pred=invalid | success=0 | raw=To determine the hidden capability label in the given audit transcript,
case_0015 | forced_route_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0016 | transcript_only | gold=computer_use | pred=coding | success=0 | raw=Coding Valid label: coding Tool_use Valid label
case_0016 | route_id_only | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response references interface actions, visual checks,
case_0016 | natural_metadata | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response references interface actions, visual checks,
case_0016 | forced_route_metadata | gold=computer_use | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0017 | transcript_only | gold=policy_edge | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0017 | route_id_only | gold=policy_edge | pred=reasoning | success=0 | raw=Label: ____  Valid labels: reasoning, coding, tool
case_0017 | natural_metadata | gold=policy_edge | pred=reasoning | success=0 | raw=Label: _________________  1. Reasoning 2.
case_0017 | forced_route_metadata | gold=policy_edge | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0018 | transcript_only | gold=domain_expert | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0018 | route_id_only | gold=domain_expert | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
