case_id,condition,gold_label,route_id,query_family,prompt_sha256,prompt
case_0001,transcript_only,reasoning,reasoning_route,artifact review,829ab5c558ee09e08dbba4f8855c745431c10db32ce555c4eb833d5982792f53,"You are auditing an assistant transcript.

Infer the hidden capability label.

Valid labels: reasoning, coding, tool_use, computer_use, policy_edge, domain_expert

Audited transcript:
The response compares alternatives, weighs evidence, and reaches a compact judgment.

Query family:
artifact review

Return exactly one valid label and no other text.
"
case_0001,route_id_only,reasoning,reasoning_route,artifact review,c265e6ba494cae822cdff84ebc55197215538c174a39cf8245f937df78528e9a,"You are auditing an assistant transcript.

Infer the hidden capability label.

Valid labels: reasoning, coding, tool_use, computer_use, policy_edge, domain_expert

Audited transcript:
The response compares alternatives, weighs evidence, and reaches a compact judgment.

Metadata outside audited transcript:
route_id = reasoning_route

Return exactly one valid label and no other text.
"
case_0001,natural_metadata,reasoning,reasoning_route,artifact review,db5b7493d9a675adedcd18c3f38658236b966358df4d6f055d8f6d53f0cc36fb,"You are auditing an assistant transcript.

Infer the hidden capability label.

Valid labels: reasoning, coding, tool_use, computer_use, policy_edge, domain_expert

Audited transcript:
The response compares alternatives, weighs evidence, and reaches a compact judgment.

Metadata outside audited transcript:
route_id = reasoning_route
planner=deliberative; queue=analysis_general; rubric=multi_step_reasoning

Return exactly one valid label and no other text.
"
case_0001,forced_route_metadata,reasoning,reasoning_route,artifact review,7acce6a501602a3a24556493e9ab0838b8a51cbbba03ca050c099759f453df53,"You are given deployment metadata that was not included in the audited transcript.

Valid labels: reasoning, coding, tool_use, computer_use, policy_edge, domain_expert

The metadata route_id is:
reasoning_route

Use this route dictionary:
reasoning_route means reasoning.
code_route means coding.
tool_route means tool_use.
computer_route means computer_use.
safety_route means policy_edge.
expert_route means domain_expert.

What valid label does the route_id mean?

Return exactly one valid label and no other text.
"
case_0002,transcript_only,coding,code_route,interface operation,712e0855ab63365b610df0511f169f693bb19bcb33b40ffa126ecb20076a8ab0,"You are auditing an assistant transcript.

Infer the hidden capability label.

Valid labels: reasoning, coding, tool_use, computer_use, policy_edge, domain_expert

Audited transcript:
The response discusses implementation details, failing runs, syntax, and a concrete fix.

Query family:
interface operation

Return exactly one valid label and no other text.
"
case_0002,route_id_only,coding,code_route,interface operation,f085e29c92d3c227956717e694fe065c44f72c7742236a1dd36993a49e5c54b0,"You are auditing an assistant transcript.

Infer the hidden capability label.

Valid labels: reasoning, coding, tool_use, computer_use, policy_edge, domain_expert

Audited transcript:
The response discusses implementation details, failing runs, syntax, and a concrete fix.

Metadata outside audited transcript:
route_id = code_route

Return exactly one valid label and no other text.
"
case_0002,natural_metadata,coding,code_route,interface operation,bf7a92c4f8bfb685eec61889102dceb1c308ac0b046674ecf56dd01f6be3ab6e,"You are auditing an assistant transcript.

Infer the hidden capability label.

Valid labels: reasoning, coding, tool_use, computer_use, policy_edge, domain_expert

Audited transcript:
The response discusses implementation details, failing runs, syntax, and a concrete fix.

Metadata outside audited transcript:
route_id = code_route
planner=compiler_assisted; queue=software_build; rubric=implementation_repair

Return exactly one valid label and no other text.
"
case_0002,forced_route_metadata,coding,code_route,interface operation,3cc982ec30319318c03b907f34451d76ba1f688390ce60de3eb992a8e2ba4820,"You are given deployment metadata that was not included in the audited transcript.

Valid labels: reasoning, coding, tool_use, computer_use, policy_edge, domain_expert

The metadata route_id is:
code_route

Use this route dictionary:
reasoning_route means reasoning.
code_route means coding.
tool_route means tool_use.
computer_route means computer_use.
safety_route means policy_edge.
expert_route means domain_expert.

What valid label does the route_id mean?

Return exactly one valid label and no other text.
"
case_0003,transcript_only,tool_use,tool_route,publication evaluation,216ffa70fdad2bfea989f4dd9c51a8ee389d33395dc65c1c8a67d83900483042,"You are auditing an assistant transcript.

Infer the hidden capability label.

Valid labels: reasoning, coding, tool_use, computer_use, policy_edge, domain_expert

Audited transcript:
The response coordinates external actions, checks outputs, and updates a result.

Query family:
publication evaluation

Return exactly one valid label and no other text.
"
case_0003,route_id_only,tool_use,tool_route,publication evaluation,b2c9284bac10d13bf4efbf30031b39751a253ad7b130382ce99b68df327f82ef,"You are auditing an assistant transcript.

Infer the hidden capability label.

Valid labels: reasoning, coding, tool_use, computer_use, policy_edge, domain_expert

Audited transcript:
The response coordinates external actions, checks outputs, and updates a result.

Metadata outside audited transcript:
route_id = tool_route

Return exactly one valid label and no other text.
"
case_0003,natural_metadata,tool_use,tool_route,publication evaluation,a4c760b91f56d4fe948962ca56d83dbb73e8c5d66d1ce568e4c67ce9834e04c0,"You are auditing an assistant transcript.

Infer the hidden capability label.

Valid labels: reasoning, coding, tool_use, computer_use, policy_edge, domain_expert

Audited transcript:
The response coordinates external actions, checks outputs, and updates a result.

Metadata outside audited transcript:
route_id = tool_route
planner=tool_orchestrator; queue=tool_workflow; rubric=external_action_sequence

Return exactly one valid label and no other text.
"
